"archivo_anterior","archivo_nuevo","categoria","subcategoria","nombre"
"kit-de-personaje-01","kit-mario-bros","Globos y Kits","Personajes","Kit Mario Bros"
"kit-de-personaje-02","kit-bowser","Globos y Kits","Personajes","Kit Bowser"
"kit-de-personaje-03","kit-yoshi","Globos y Kits","Personajes","Kit Yoshi"
"kit-de-personaje-04","kit-princesa-peach","Globos y Kits","Personajes","Kit Princesa Peach"
"kit-de-personaje-05","kit-luigi","Globos y Kits","Personajes","Kit Luigi"
"kit-de-personaje-06","kit-my-little-pony","Globos y Kits","Personajes","Kit My Little Pony"
"kit-de-personaje-07","kit-bella-y-bestia","Globos y Kits","Personajes","Kit Bella y Bestia"
"kit-de-personaje-08","kit-elsa-frozen","Globos y Kits","Personajes","Kit Elsa Frozen"
"kit-de-personaje-09","kit-ana-frozen","Globos y Kits","Personajes","Kit Ana Frozen"
"kit-de-personaje-10","kit-olaf-frozen","Globos y Kits","Personajes","Kit Olaf Frozen"
"kit-de-personaje-11","kit-sirenita-ariel","Globos y Kits","Personajes","Kit Sirenita Ariel"
"kit-de-personaje-12","kit-flounder","Globos y Kits","Personajes","Kit Flounder"
"kit-de-personaje-13","kit-cenicienta","Globos y Kits","Personajes","Kit Cenicienta"
"kit-de-personaje-14","kit-blancanieves","Globos y Kits","Personajes","Kit Blancanieves"
"kit-de-personaje-15","kit-moana","Globos y Kits","Personajes","Kit Moana"
"kit-de-personaje-16","kit-bella","Globos y Kits","Personajes","Kit Bella"
"kit-de-personaje-17","kit-aurora","Globos y Kits","Personajes","Kit Aurora"
"kit-de-personaje-18","kit-rapunzel","Globos y Kits","Personajes","Kit Rapunzel"
"kit-de-personaje-19","kit-jasmine","Globos y Kits","Personajes","Kit Jasmine"
"kit-de-personaje-20","kit-tiana","Globos y Kits","Personajes","Kit Tiana"
"kit-de-personaje-21","kit-kuromi","Globos y Kits","Personajes","Kit Kuromi"
"kit-de-personaje-22","kit-hello-kitty","Globos y Kits","Personajes","Kit Hello Kitty"
"kit-de-personaje-23","kit-my-melody","Globos y Kits","Personajes","Kit My Melody"
"kit-de-personaje-24","kit-cinnamoroll","Globos y Kits","Personajes","Kit Cinnamoroll"
"kit-de-personaje-25","kit-badtz-maru","Globos y Kits","Personajes","Kit Badtz-Maru"
"kit-de-personaje-26","kit-keroppi","Globos y Kits","Personajes","Kit Keroppi"
"kit-de-personaje-27","kit-pompompurin","Globos y Kits","Personajes","Kit Pompompurin"
"kit-de-personaje-28","kit-pochacco","Globos y Kits","Personajes","Kit Pochacco"
"kit-de-personaje-29","kit-chococat","Globos y Kits","Personajes","Kit Chococat"
"kit-de-personaje-30","kit-little-twin-stars","Globos y Kits","Personajes","Kit Little Twin Stars"
